signal_date,ts_code,name,score,patterns,entry_close,ret_1d,ret_3d,ret_5d
20260710,000892.SZ,欢瑞世纪,90.0,趋势强势|平台突破,4.2,,,
20260710,002317.SZ,众生药业,90.0,趋势强势|平台突破,29.54,,,
20260710,003020.SZ,立方制药,90.0,趋势强势|平台突破,18.74,,,
20260710,600129.SH,太极集团,90.0,趋势强势|平台突破,16.58,,,
20260710,300533.SZ,冰川网络,89.9,趋势强势|平台突破,17.9,,,
20260710,300071.SZ,福石控股,89.8,趋势强势|平台突破,4.91,,,
20260710,603339.SH,四方科技,89.7,趋势强势|平台突破,16.25,,,
20260710,605377.SH,华旺科技,89.7,趋势强势|平台突破,10.13,,,
20260710,688293.SH,奥浦迈,89.2,趋势强势|平台突破,48.39,,,
20260710,301015.SZ,百洋医药,89.0,趋势强势|平台突破,22.92,,,
20260710,688222.SH,成都先导,88.8,趋势强势|平台突破,35.87,,,
20260710,002437.SZ,誉衡药业,88.6,趋势强势|平台突破,3.13,,,
20260710,300528.SZ,幸福蓝海,88.3,趋势强势|平台突破,15.9,,,
20260710,688036.SH,传音控股,87.8,趋势强势|平台突破,68.5,,,
20260710,300105.SZ,龙源技术,87.5,趋势强势|平台突破,8.18,,,
20260710,002739.SZ,儒意电影,86.8,趋势强势|平台突破,10.43,,,
20260710,603322.SH,超讯科技,85.4,趋势强势|平台突破,31.06,,,
20260710,688111.SH,金山办公,85.3,趋势强势|平台突破,233.76,,,
20260710,301295.SZ,美硕科技,85.2,趋势强势|平台突破,49.91,,,
20260710,002687.SZ,乔治白,84.9,趋势强势,5.85,,,
20260710,002541.SZ,鸿路钢构,84.4,趋势强势|平台突破,19.66,,,
20260710,603127.SH,昭衍新药,84.4,趋势强势,43.22,,,
20260710,688319.SH,欧林生物,84.3,趋势强势|平台突破,44.38,,,
20260710,688238.SH,和元生物,84.1,趋势强势,6.71,,,
20260710,000034.SZ,神州数码,83.8,趋势强势|平台突破,29.62,,,
20260710,688561.SH,奇安信,83.8,趋势强势|平台突破,25.89,,,
20260710,600664.SH,哈药股份,83.7,趋势强势|平台突破,3.37,,,
20260710,600879.SH,航天电子,83.3,趋势强势|平台突破,23.29,,,
20260710,300474.SZ,景嘉微,82.9,趋势强势,63.63,,,
20260710,000518.SZ,四环生物,82.8,趋势强势,4.06,,,
20260710,603019.SH,中科曙光,82.3,趋势强势,107.5,,,
20260710,688311.SH,盟升电子,82.3,趋势强势,32.39,,,
20260710,300002.SZ,神州泰岳,82.0,趋势强势,8.4,,,
20260710,688375.SH,国博电子,81.3,趋势强势|平台突破,113.01,,,
20260710,300654.SZ,世纪天鸿,81.0,趋势强势|平台突破,10.38,,,
20260710,002261.SZ,拓维信息,80.8,趋势强势,32.08,,,
20260710,600428.SH,中远海特,80.8,趋势强势|平台突破,8.99,,,
20260710,300640.SZ,德艺文创,80.5,趋势强势|平台突破,6.22,,,
20260710,603222.SH,济民健康,80.3,趋势强势,9.88,,,
20260710,301080.SZ,百普赛斯,80.1,趋势强势,50.6,,,
20260710,920275.BJ,驱动力,79.3,趋势强势|平台突破,7.1,,,
20260710,000048.SZ,京基智农,77.7,趋势强势,24.1,,,
20260710,603087.SH,甘李药业,77.3,趋势强势,66.47,,,
20260710,688373.SH,盟科药业,77.0,趋势强势,5.19,,,
20260710,600521.SH,华海药业,76.4,趋势强势,16.84,,,
20260710,605208.SH,永茂泰,76.3,趋势强势,18.86,,,
20260710,600470.SH,六国化工,76.1,趋势强势,6.96,,,
20260710,300689.SZ,澄天伟业,75.6,趋势强势|平台突破,74.0,,,
20260710,603183.SH,建研院,75.6,趋势强势|平台突破,4.44,,,
20260710,600372.SH,中航机载,75.3,趋势强势|平台突破,11.58,,,
20260710,300251.SZ,光线传媒,75.0,趋势强势,12.75,,,
20260710,688385.SH,复旦微电,74.8,趋势强势|平台突破,74.0,,,
20260710,600488.SH,津药药业,74.7,趋势强势,5.58,,,
20260710,600845.SH,宝信软件,74.7,趋势强势,20.0,,,
20260710,603669.SH,灵康药业,74.4,趋势强势,6.18,,,
20260710,688343.SH,云天励飞,74.4,趋势强势,87.13,,,
20260710,600975.SH,新五丰,74.2,趋势强势,5.17,,,
20260710,920478.BJ,峆一药业,73.8,趋势强势,11.32,,,
20260710,301047.SZ,义翘神州,73.7,趋势强势,70.07,,,
20260710,688387.SH,信科移动,73.7,趋势强势|平台突破,22.28,,,
20260710,688523.SH,航天环宇,73.7,平台突破,61.18,,,
20260710,002236.SZ,大华股份,73.6,趋势强势|平台突破,17.29,,,
20260710,300434.SZ,金石亚药,73.6,趋势强势,11.96,,,
20260710,603893.SH,瑞芯微,73.5,趋势强势,208.8,,,
20260710,000526.SZ,学大教育,73.3,趋势强势,28.06,,,
20260710,002123.SZ,梦网科技,73.3,趋势强势,8.66,,,
20260710,300363.SZ,博腾股份,73.2,趋势强势,18.42,,,
20260710,600118.SH,中国卫星,72.8,平台突破,90.02,,,
20260710,002558.SZ,巨人网络,72.6,趋势强势,29.56,,,
20260710,002791.SZ,坚朗五金,72.4,趋势强势,15.17,,,
20260710,300833.SZ,浩洋股份,72.4,趋势强势,35.9,,,
20260710,300687.SZ,赛意信息,72.1,趋势强势,30.47,,,
20260710,300469.SZ,信息发展,71.9,趋势强势|平台突破,59.8,,,
20260710,002605.SZ,姚记科技,71.4,趋势强势,20.41,,,
20260710,300369.SZ,绿盟科技,71.3,趋势强势,6.61,,,
20260710,300592.SZ,华凯易佰,70.9,趋势强势,18.74,,,
20260710,300649.SZ,杭州园林,70.8,趋势强势,30.09,,,
20260710,002693.SZ,双成药业,70.5,趋势强势,10.45,,,
20260710,603818.SH,曲美家居,69.9,趋势强势,3.45,,,
20260710,300990.SZ,同飞股份,69.5,趋势强势,109.04,,,
20260710,301092.SZ,争光股份,69.4,趋势强势,55.0,,,
20260710,600771.SH,广誉远,69.1,趋势强势,14.23,,,
20260710,300199.SZ,翰宇药业,68.6,趋势强势,25.44,,,
20260710,000524.SZ,岭南控股,68.5,趋势强势,9.87,,,
20260710,300026.SZ,红日药业,68.4,趋势强势,3.17,,,
20260710,603815.SH,交建股份,68.3,趋势强势,6.79,,,
20260710,003033.SZ,征和工业,68.2,趋势强势,70.21,,,
20260710,600150.SH,中国船舶,68.2,趋势强势,37.04,,,
20260710,603949.SH,雪龙集团,68.1,趋势强势,18.88,,,
20260710,688720.SH,艾森股份,68.1,趋势强势,105.33,,,
20260710,300588.SZ,熙菱信息,67.9,趋势强势,24.8,,,
20260710,002321.SZ,华英农业,67.8,趋势强势,1.88,,,
20260710,002714.SZ,牧原股份,67.8,趋势强势,38.14,,,
20260710,002728.SZ,特一药业,67.8,趋势强势,9.56,,,
20260710,300813.SZ,泰林生物,67.8,趋势强势,22.0,,,
20260710,603313.SH,梦百合,67.6,趋势强势,7.26,,,
20260710,002292.SZ,奥飞娱乐,67.2,趋势强势,7.74,,,
20260710,300404.SZ,博济医药,67.2,趋势强势,9.48,,,
